timestamp,error_x,error_y,integral_x,integral_y,vx,vy,drone_x,drone_y,tag_x,tag_y
85.1409,0.0173582,-0.011659,0.0173582,-0.011659,-0.0260374,0.0174886,0.866311,-1.06444,0.848953,-1.05278
85.1609,0.0134142,-0.00708177,0.0307724,-0.0187408,-0.0201213,0.0106227,0.862367,-1.05986,0.848953,-1.05278
85.1812,0.0110571,-0.00373652,0.0418296,-0.0224773,-0.0165857,0.00560478,0.86001,-1.05652,0.848953,-1.05278
85.2009,0.00789147,0.00165949,0.0497211,-0.0208178,-0.0118372,-0.00248924,0.856844,-1.05112,0.848953,-1.05278
85.2209,0.00685346,0.00341413,0.0565745,-0.0174037,-0.0102802,-0.0051212,0.855806,-1.04937,0.848953,-1.05278
85.2409,0.00480294,0.00686,0.0613775,-0.0105437,-0.00720441,-0.01029,0.853756,-1.04592,0.848953,-1.05278
85.2609,0.00278675,0.0102236,0.0641642,-0.000320109,-0.00418013,-0.0153354,0.85174,-1.04256,0.848953,-1.05278
85.2813,0.000805436,0.0135066,0.0649697,0.0131865,-0.00120815,-0.0202599,0.849758,-1.03928,0.848953,-1.05278
85.3009,-0.00112903,0.016728,0.0638406,0.0299145,0.00169355,-0.025092,0.847824,-1.03605,0.848953,-1.05278
85.321,-0.0030281,0.0198701,0.0608125,0.0497847,0.00454214,-0.0298052,0.845925,-1.03291,0.848953,-1.05278
85.3423,-0.00962065,0.0311383,0.0511919,0.0809229,0.014431,-0.0467074,0.845103,-1.02974,0.854723,-1.06088
85.3609,-0.00956445,0.0327562,0.0416274,0.113679,0.0143467,-0.0491343,0.845159,-1.02812,0.854723,-1.06088
85.382,-0.00949155,0.0351495,0.0321359,0.148829,0.0142373,-0.0527243,0.845232,-1.02573,0.854723,-1.06088
85.402,-0.0095012,0.0367163,0.0226347,0.185545,0.0142518,-0.0550745,0.845222,-1.02416,0.854723,-1.06088
85.4209,-0.00959037,0.0390141,0.0130443,0.224559,0.0143856,-0.0585211,0.845133,-1.02186,0.854723,-1.06088
85.441,-0.00974123,0.0412243,0.00330307,0.265783,0.0146118,-0.0618365,0.844982,-1.01965,0.854723,-1.06088
85.461,-0.0086091,0.0422169,-0.00530603,0.308,0.0129137,-0.0633253,0.846114,-1.01866,0.854723,-1.06088
85.4811,-0.0075547,0.0431833,-0.0128607,0.351184,0.011332,-0.0647749,0.847169,-1.01769,0.854723,-1.06088
85.5009,-0.00610976,0.0445581,-0.0189705,0.395742,0.00916464,-0.0668372,0.848614,-1.01632,0.854723,-1.06088
85.5209,-0.00523292,0.0454086,-0.0242034,0.44115,0.00784937,-0.0681129,0.84949,-1.01547,0.854723,-1.06088
85.5409,-0.00402491,0.0466135,-0.0282283,0.487764,0.00603736,-0.0699203,0.850698,-1.01426,0.854723,-1.06088
85.5609,-0.00364886,0.0469954,-0.0318772,0.534759,0.0054733,-0.070493,0.851074,-1.01388,0.854723,-1.06088
85.5809,-0.00258814,0.0480839,-0.0344653,0.582843,0.00388221,-0.0721258,0.852135,-1.01279,0.854723,-1.06088
85.6009,-0.000944362,0.0502329,-0.0354097,0.633076,0.00141654,-0.0753493,0.853779,-1.01065,0.854723,-1.06088
85.6209,7.81555e-05,0.0515651,-0.0353315,0.684641,-0.000117233,-0.0773477,0.854801,-1.00931,0.854723,-1.06088
85.6409,0.00127359,0.0546987,-0.0340579,0.73934,-0.00191038,-0.082048,0.855997,-1.00618,0.854723,-1.06088
85.6609,0.00173677,0.0552327,-0.0323212,0.794572,-0.00260516,-0.0828491,0.85646,-1.00565,0.854723,-1.06088
85.6831,0.00218721,0.0557484,-0.0301339,0.850321,-0.00328081,-0.0836226,0.856911,-1.00513,0.854723,-1.06088
85.7009,0.00386698,0.0576325,-0.026267,0.907953,-0.00580048,-0.0864488,0.85859,-1.00325,0.854723,-1.06088
85.7214,0.00425745,0.0580601,-0.0220095,0.966013,-0.00638618,-0.0870902,0.858981,-1.00282,0.854723,-1.06088
85.7409,0.00479002,0.0595958,-0.0172195,1.02561,-0.00718503,-0.0893937,0.859513,-1.00128,0.854723,-1.06088
85.7614,0.00576772,0.062383,-0.0114518,1.08799,-0.00865158,-0.0935744,0.860491,-0.998495,0.854723,-1.06088
85.781,0.00597431,0.0630108,-0.00547746,1.151,-0.00896146,-0.0945162,0.860698,-0.997867,0.854723,-1.06088
85.8033,0.00671448,0.0649248,0.00123702,1.21593,-0.0100717,-0.0973872,0.861438,-0.995953,0.854723,-1.06088
85.8209,-0.0466415,0.085363,-0.0454044,1.30129,0.0699622,-0.128045,0.862002,-0.994666,0.908643,-1.08003
85.8409,-0.0435096,0.088905,-0.088914,1.3902,0.0652644,-0.133357,0.865134,-0.991124,0.908643,-1.08003
85.8611,-0.0418212,0.0906592,-0.130735,1.48085,0.0627318,-0.135989,0.866822,-0.98937,0.908643,-1.08003
85.881,-0.0427461,0.0836819,-0.173481,1.56454,0.0641191,-0.125523,0.868387,-0.987763,0.911133,-1.07144
85.9009,-0.0405787,0.0858603,-0.21406,1.6504,0.060868,-0.12879,0.870554,-0.985585,0.911133,-1.07144
85.9209,-0.0392457,0.0871828,-0.253306,1.73758,0.0588685,-0.130774,0.871887,-0.984262,0.911133,-1.07144
85.9416,-0.037381,0.088988,-0.290687,1.82657,0.0560714,-0.133482,0.873752,-0.982457,0.911133,-1.07144
85.961,-0.0363449,0.0904552,-0.327032,1.91702,0.0545174,-0.135683,0.874788,-0.98099,0.911133,-1.07144
85.9809,-0.0350241,0.0930052,-0.362056,2.01003,0.0525361,-0.139508,0.876109,-0.97844,0.911133,-1.07144
86.0015,-0.034182,0.0945664,-0.396238,2.10459,0.051273,-0.14185,0.876951,-0.976879,0.911133,-1.07144
86.0209,-0.0429249,0.0864294,-0.439163,2.19102,0.0643873,-0.129644,0.878145,-0.974737,0.92107,-1.06117
86.0409,-0.0421831,0.0877283,-0.481346,2.27875,0.0632747,-0.131592,0.878887,-0.973438,0.92107,-1.06117
86.0609,-0.0411058,0.0894875,-0.522452,2.36824,0.0616587,-0.134231,0.879964,-0.971678,0.92107,-1.06117
86.0809,-0.0404082,0.0905363,-0.56286,2.45878,0.0606124,-0.135804,0.880662,-0.97063,0.92107,-1.06117
86.1009,-0.0397647,0.0909446,-0.602624,2.54972,0.059647,-0.136417,0.881305,-0.970221,0.92107,-1.06117
86.1209,-0.0378982,0.092027,-0.640523,2.64175,0.0568473,-0.13804,0.883172,-0.969139,0.92107,-1.06117
86.141,-0.0367004,0.0926353,-0.677223,2.73438,0.0550506,-0.138953,0.88437,-0.968531,0.92107,-1.06117
86.1609,-0.0497935,0.0826725,-0.727017,2.81706,0.0746902,-0.124009,0.886103,-0.967784,0.935896,-1.05046
86.1809,-0.0486778,0.0830614,-0.775694,2.90012,0.0730167,-0.124592,0.887219,-0.967395,0.935896,-1.05046
86.201,-0.0470184,0.0834771,-0.822713,2.98359,0.0705277,-0.125216,0.888878,-0.96698,0.935896,-1.05046
86.2209,-0.0462099,0.0836237,-0.868923,3,0.0693149,-0.125436,0.889686,-0.966833,0.935896,-1.05046
