timestamp,error_x,error_y,integral_x,integral_y,vx,vy,drone_x,drone_y,tag_x,tag_y,Above Ground z,Target z
2.65936,0.0603073,-0.024019,0.0603073,-0.024019,-0.0422151,0.0168133,1.24816,-1.20084,1.18785,-1.17682,3.22542,0
2.67932,0.0607867,-0.0256385,0.121094,-0.0496575,-0.0425507,0.0179469,1.24864,-1.20246,1.18785,-1.17682,3.22542,0.6
2.69939,0.0623425,-0.0281933,0.183437,-0.0778509,-0.0436398,0.0197353,1.24894,-1.20351,1.1866,-1.17532,3.26186,0.6
2.71923,0.0627632,-0.0297355,0.2462,-0.107586,-0.0439343,0.0208149,1.24936,-1.20505,1.1866,-1.17532,3.26186,0.6
2.73935,0.0630471,-0.0307562,0.309247,-0.138343,-0.0441329,0.0215293,1.24965,-1.20607,1.1866,-1.17532,3.26186,0.6
2.75937,0.0614331,-0.0302771,0.37068,-0.16862,-0.0430032,0.021194,1.24934,-1.20775,1.18791,-1.17747,3.23397,0.6
2.77932,0.0609967,-0.0314146,0.431677,-0.200034,-0.0426977,0.0219902,1.2489,-1.20888,1.18791,-1.17747,3.23397,0.6
2.79926,0.0689883,-0.0357893,0.500665,-0.235824,-0.0482918,0.0250525,1.24824,-1.21055,1.17926,-1.17476,3.26207,0.6
2.8196,0.0685278,-0.0368646,0.569193,-0.272688,-0.0479694,0.0258052,1.24778,-1.21162,1.17926,-1.17476,3.26207,0.6
2.83928,0.0677785,-0.0384237,0.636971,-0.311112,-0.047445,0.0268966,1.24703,-1.21318,1.17926,-1.17476,3.26207,0.6
2.85922,0.0797688,-0.0386777,0.71674,-0.34979,-0.0558381,0.0270744,1.24648,-1.21419,1.16671,-1.17551,3.22807,0.6
2.87921,0.0828758,-0.0399644,0.799616,-0.389754,-0.058013,0.0279751,1.24703,-1.21667,1.16415,-1.17671,3.21732,0.6
2.89922,0.0850572,-0.0429074,0.884673,-0.432661,-0.05954,0.0300352,1.24921,-1.21962,1.16415,-1.17671,3.21732,0.6
2.91923,0.0922405,-0.0424124,0.976913,-0.475074,-0.0645684,0.0296887,1.25123,-1.22249,1.15899,-1.18008,3.22815,0.6
2.93925,0.0949688,-0.046601,1.07188,-0.521675,-0.0664781,0.0326207,1.25395,-1.22668,1.15899,-1.18008,3.22815,0.6
