timestamp,error_x,error_y,integral_x,integral_y,vx,vy,drone_x,drone_y,tag_x,tag_y,above_ground_z,target_z
3.80061,-0.0257134,-0.0616284,-0.823765,2.93837,0.0179994,0.0431399,-1.01358,-0.747347,-0.987863,-0.685719,4.41809,0.6
3.80063,-0.0257134,-0.0616284,-0.849478,2.87674,0.0179994,0.0431399,-1.01358,-0.747347,-0.987863,-0.685719,4.41809,0.6
3.8206,-0.02496,-0.0589496,-0.874439,2.81779,0.017472,0.0412647,-1.00921,-0.744877,-0.984245,-0.685928,4.4161,0.6
3.82061,-0.02496,-0.0589496,-0.899399,2.75884,0.017472,0.0412647,-1.00921,-0.744877,-0.984245,-0.685928,4.4161,0.6
3.84058,-0.0221466,-0.0572907,-0.921545,2.70155,0.0155026,0.0401035,-1.00639,-0.743218,-0.984245,-0.685928,4.4161,0.6
3.8406,-0.0221466,-0.0572907,-0.943692,2.64426,0.0155026,0.0401035,-1.00639,-0.743218,-0.984245,-0.685928,4.4161,0.6
3.86058,-0.0208402,-0.0526965,-0.964532,2.59157,0.0145882,0.0368875,-1.00232,-0.740705,-0.981485,-0.688009,4.41924,0.6
3.8606,-0.0208402,-0.0526965,-0.985372,2.53887,0.0145882,0.0368875,-1.00232,-0.740705,-0.981485,-0.688009,4.41924,0.6
3.88058,-0.0185019,-0.049651,-1.00387,2.48922,0.0129513,0.0347557,-0.999447,-0.739266,-0.980945,-0.689615,4.41836,0.6
3.88061,-0.0185019,-0.049651,-1.02238,2.43957,0.0129513,0.0347557,-0.999447,-0.739266,-0.980945,-0.689615,4.41836,0.6
3.9006,-0.0143325,-0.0474645,-1.03671,2.3921,0.0100327,0.0332251,-0.995277,-0.73708,-0.980945,-0.689615,4.41836,0.6
3.90062,-0.0143325,-0.0474645,-1.05104,2.34464,0.0100327,0.0332251,-0.995277,-0.73708,-0.980945,-0.689615,4.41836,0.6
3.92061,-0.0158048,-0.045941,-1.06685,2.2987,0.0110634,0.0321587,-0.992593,-0.735607,-0.976788,-0.689666,4.428,0.6
3.92063,-0.0158048,-0.045941,-1.08265,2.25276,0.0110634,0.0321587,-0.992593,-0.735607,-0.976788,-0.689666,4.428,0.6
3.94065,-0.0118805,-0.0436798,-1.09453,2.20908,0.00831634,0.0305759,-0.988669,-0.733346,-0.976788,-0.689666,4.428,0.6
3.94068,-0.0118805,-0.0436798,-1.10641,2.1654,0.00831634,0.0305759,-0.988669,-0.733346,-0.976788,-0.689666,4.428,0.6
3.96066,-0.00934323,-0.0421533,-1.11575,2.12324,0.00654026,0.0295073,-0.986132,-0.731819,-0.976788,-0.689666,4.428,0.6
3.96069,-0.00934323,-0.0421533,-1.1251,2.08109,0.00654026,0.0295073,-0.986132,-0.731819,-0.976788,-0.689666,4.428,0.6
3.98059,-0.00856854,-0.0358785,-1.13367,2.04521,0.00599797,0.025115,-0.98246,-0.729525,-0.973891,-0.693646,4.41967,0.6
3.98061,-0.00856854,-0.0358785,-1.14223,2.00933,0.00599797,0.025115,-0.98246,-0.729525,-0.973891,-0.693646,4.41967,0.6
4.00059,-0.00642974,-0.0340827,-1.14866,1.97525,0.00450082,0.0238579,-0.980321,-0.727729,-0.973891,-0.693646,4.41967,0.6
4.00061,-0.00642974,-0.0340827,-1.15509,1.94117,0.00450082,0.0238579,-0.980321,-0.727729,-0.973891,-0.693646,4.41967,0.6
4.02059,-0.00492589,-0.031468,-1.16002,1.9097,0.00344812,0.0220276,-0.97753,-0.724729,-0.972604,-0.693262,4.48555,0.6
4.02061,-0.00492589,-0.031468,-1.16495,1.87823,0.00344812,0.0220276,-0.97753,-0.724729,-0.972604,-0.693262,4.48555,0.6
4.0406,-0.00386483,-0.0306653,-1.16881,1.84757,0.00270538,0.0214657,-0.975726,-0.722766,-0.971862,-0.692101,4.48555,0.6
4.04062,-0.00386483,-0.0306653,-1.17268,1.8169,0.00270538,0.0214657,-0.975726,-0.722766,-0.971862,-0.692101,4.48555,0.6
4.06065,-0.00124718,-0.0277751,-1.17392,1.78913,0.000873024,0.0194426,-0.973109,-0.719876,-0.971862,-0.692101,4.48555,0.6
4.06068,-0.00124718,-0.0277751,-1.17517,1.76135,0.000873024,0.0194426,-0.973109,-0.719876,-0.971862,-0.692101,4.48555,0.6
4.08059,0.00204023,-0.023965,-1.17313,1.73739,-0.00142816,0.0167755,-0.971445,-0.717978,-0.973485,-0.694013,4.3711,0.6
4.08062,0.00204023,-0.023965,-1.17109,1.71342,-0.00142816,0.0167755,-0.971445,-0.717978,-0.973485,-0.694013,4.3711,0.6
4.10059,0.00441625,-0.0211627,-1.16667,1.69226,-0.00309137,0.0148139,-0.969069,-0.715176,-0.973485,-0.694013,4.3711,0.6
